CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2069800.0,WHRL4,9935040.0,,2023-05-01,,,0.0,0.0,,4.8,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,0.0,0.0,5000.0,20892.0,2105300.0,WHRL4,8631730.0,,2024-04-28,,4.1784,4.1784,5000.0,,4.1,4.1784
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,0.0,0.0,12800.0,52663.0,2118100.0,WHRL4,9171373.0,,2024-05-28,,4.114296875,4.114296875,12800.0,,4.33,4.114296875
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,0.0,0.0,1900.0,8250.0,2120000.0,WHRL4,9815600.0,,2024-06-28,,4.342105263157895,4.342105263157895,1900.0,,4.63,4.342105263157895
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2069800.0,WHRL4,9748758.0,,2023-05-29,,,0.0,0.0,,4.71,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2069800.0,WHRL4,9148516.0,,2023-06-29,,,0.0,0.0,,4.42,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,9100.0,40193.0,2078900.0,WHRL4,9271894.0,,2023-07-29,,4.416813186813187,4.416813186813187,9100.0,,4.46,4.416813186813187
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,0.0,0.0,7000.0,31275.0,2085900.0,WHRL4,9386550.0,,2023-08-29,,4.4678571428571425,4.4678571428571425,7000.0,,4.5,4.4678571428571425
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2085900.0,WHRL4,9699435.0,,2023-12-27,,,0.0,0.0,,4.65,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,0.0,0.0,1900.0,9754.0,2087800.0,WHRL4,10397244.0,,2024-01-27,,5.133684210526316,5.133684210526316,1900.0,,4.98,5.133684210526316
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,0.0,0.0,7400.0,34339.0,2095200.0,WHRL4,9658872.0,,2024-02-27,,4.640405405405406,4.640405405405406,7400.0,,4.61,4.640405405405406
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,0.0,0.0,5100.0,23782.0,2100300.0,WHRL4,9598371.0,,2024-03-28,,4.663137254901961,4.663137254901961,5100.0,,4.57,4.663137254901961
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,4800.0,21580.0,2124800.0,WHRL4,9561600.0,,2024-07-29,,4.495833333333334,4.495833333333334,4800.0,,4.5,4.495833333333334
